ID: 978-1-972571-48-4, OrderQty: 3, TotalCost: $35.52
ID: 978-1-966313-76-2, OrderQty: 5, TotalCost: $101.40
ID: 978-1-898677-75-8, OrderQty: 4, TotalCost: $45.88
ID: 978-1-86787-427-0, OrderQty: 1, TotalCost: $18.05
ID: 978-1-78204-173-3, OrderQty: 4, TotalCost: $89.28
ID: 978-1-78112-608-0, OrderQty: 5, TotalCost: $123.90
ID: 978-1-77834-284-4, OrderQty: 5, TotalCost: $135.40
ID: 978-1-63694-430-2, OrderQty: 3, TotalCost: $52.17
ID: 978-1-63516-154-0, OrderQty: 2, TotalCost: $51.88
ID: 978-1-61543-589-0, OrderQty: 3, TotalCost: $65.28
ID: 978-1-5332-9430-2, OrderQty: 4, TotalCost: $34.08
ID: 978-1-5261-1669-7, OrderQty: 4, TotalCost: $62.84
ID: 978-1-5142-1388-9, OrderQty: 5, TotalCost: $31.60
ID: 978-1-4921-2520-4, OrderQty: 3, TotalCost: $84.33
ID: 978-1-4897-2158-7, OrderQty: 4, TotalCost: $62.64
ID: 978-1-4878-2172-2, OrderQty: 2, TotalCost: $47.72
ID: 978-1-4732-9993-1, OrderQty: 2, TotalCost: $44.40
ID: 978-1-4380-5464-3, OrderQty: 1, TotalCost: $18.27
ID: 978-1-4329-9091-6, OrderQty: 4, TotalCost: $37.36
ID: 978-1-4230-6971-3, OrderQty: 4, TotalCost: $36.00
ID: 978-1-4078-5946-0, OrderQty: 3, TotalCost: $65.76
ID: 978-1-397-38861-2, OrderQty: 6, TotalCost: $55.86
ID: 978-1-361-84883-8, OrderQty: 5, TotalCost: $97.35
ID: 978-1-349-66657-7, OrderQty: 4, TotalCost: $74.24
ID: 978-1-339-07377-4, OrderQty: 4, TotalCost: $49.04
ID: 978-1-336-56842-6, OrderQty: 4, TotalCost: $58.40
ID: 978-1-322-36436-0, OrderQty: 4, TotalCost: $102.36
ID: 978-1-265-42962-1, OrderQty: 3, TotalCost: $80.67
ID: 978-1-236-13208-6, OrderQty: 1, TotalCost: $13.38
ID: 978-1-206-81970-2, OrderQty: 5, TotalCost: $39.70
ID: 978-1-191-62371-1, OrderQty: 4, TotalCost: $56.60
ID: 978-1-176-67368-7, OrderQty: 3, TotalCost: $62.85
ID: 978-1-170-65578-8, OrderQty: 3, TotalCost: $65.88
ID: 978-1-164-67498-6, OrderQty: 3, TotalCost: $78.39
ID: 978-1-142-22558-2, OrderQty: 3, TotalCost: $86.40
ID: 978-1-138-90021-9, OrderQty: 1, TotalCost: $26.58
ID: 978-1-136-33593-8, OrderQty: 2, TotalCost: $16.22
ID: 978-1-111-54609-0, OrderQty: 2, TotalCost: $16.14
ID: 978-1-108-70497-7, OrderQty: 2, TotalCost: $43.22
ID: 978-1-07-451992-6, OrderQty: 4, TotalCost: $90.04
ID: 978-1-05-791946-0, OrderQty: 2, TotalCost: $56.60
ID: 978-0-9975706-9-4, OrderQty: 4, TotalCost: $70.60
ID: 978-0-9549013-1-8, OrderQty: 3, TotalCost: $42.42
ID: 978-0-945441-26-7, OrderQty: 4, TotalCost: $103.12
ID: 978-0-933827-40-0, OrderQty: 2, TotalCost: $36.98
ID: 978-0-86979-225-4, OrderQty: 8, TotalCost: $69.60
ID: 978-0-8189-7906-4, OrderQty: 2, TotalCost: $42.16
ID: 978-0-7949-8968-2, OrderQty: 2, TotalCost: $40.50
ID: 978-0-7949-4937-2, OrderQty: 1, TotalCost: $22.04
ID: 978-0-7772-1015-4, OrderQty: 2, TotalCost: $52.40
ID: 978-0-7770-2282-5, OrderQty: 4, TotalCost: $99.92
ID: 978-0-7258-2220-0, OrderQty: 2, TotalCost: $40.24
ID: 978-0-637-53441-3, OrderQty: 3, TotalCost: $69.30
ID: 978-0-631-88057-8, OrderQty: 5, TotalCost: $82.15
ID: 978-0-603-16697-6, OrderQty: 7, TotalCost: $182.35
ID: 978-0-579-20856-4, OrderQty: 3, TotalCost: $36.69
ID: 978-0-572-26122-1, OrderQty: 1, TotalCost: $14.40
ID: 978-0-567-88297-4, OrderQty: 2, TotalCost: $28.44
ID: 978-0-555-30872-1, OrderQty: 4, TotalCost: $82.04
ID: 978-0-531-52033-8, OrderQty: 6, TotalCost: $125.34
ID: 978-0-519-55865-0, OrderQty: 2, TotalCost: $12.76
ID: 978-0-484-55759-7, OrderQty: 4, TotalCost: $110.52
ID: 978-0-465-31602-1, OrderQty: 5, TotalCost: $68.15
ID: 978-0-363-28383-8, OrderQty: 1, TotalCost: $11.84
ID: 978-0-329-38180-6, OrderQty: 5, TotalCost: $85.95
ID: 978-0-303-37283-7, OrderQty: 2, TotalCost: $28.14
ID: 978-0-222-91252-7, OrderQty: 1, TotalCost: $6.06
ID: 978-0-08-482234-7, OrderQty: 6, TotalCost: $46.86
ID: 978-0-08-081736-1, OrderQty: 2, TotalCost: $22.24
ID: 978-0-05-079698-6, OrderQty: 4, TotalCost: $89.92
ID: 978-0-02-430833-7, OrderQty: 5, TotalCost: $90.50
ID: 978-0-00-820219-4, OrderQty: 4, TotalCost: $57.32
